Id,Start time,Completion time,Email,Name,"How many hours per week did you study on average? (please try and be as accurate as possible and just type the number. examples: 5, 9, 1, etc.)","What is the percentage of lectures you attended? (please try and be as accurate as possible, just type the number. examples: 35, 60, 55, etc.)","What was your prior cumulative before the semester that you took this class? (please try and be as accurate as possible. examples: 3.25, 3.00, 2.14, etc.)","Rate the class difficulty from (Easy = 1, Medium =  2, Hard = 3)
","True or False, were you in any type of study group for the class?","What was your Test 1 score? (please try and be accurate. just type the number. examples: 80, 60, 42, etc.)",How confident were you when you took Test 1? ,"What was your Test 2 score? (please try and be accurate. just type the number. examples: 80, 60, 42, etc.)",How confident were you when you took Test 2? ,"Final Grade in Class? (please try and be accurate. just type the number. examples: 70, 88, 61, etc.)"
27,1/19/2026 13:56,1/19/2026 13:57,anonymous,,1,76,2.86,2 = Medium,True,80,4,81,4,91
28,1/19/2026 13:58,1/19/2026 13:59,anonymous,,7,77,2.05,1 = Easy,True,79,6,82,1,90
29,1/19/2026 13:59,1/19/2026 14:00,anonymous,,11,59,2.22,1 = Easy,False,67,4,61,5,90
30,1/19/2026 14:00,1/19/2026 14:05,anonymous,,13,98,2.06,3 = Hard,True,66,3,86,7,100
31,1/19/2026 14:05,1/19/2026 14:20,anonymous,,1,97,2.63,1 = Easy,False,76,8,85,10,100
32,1/19/2026 14:20,1/19/2026 14:23,anonymous,,15,95,3.02,2 = Medium,True,92,4,76,6,100
33,1/19/2026 18:22,1/19/2026 18:29,anonymous,,5,89,3.27,1 = Easy,True,62,7,61,10,100
34,1/19/2026 18:29,1/19/2026 18:30,anonymous,,11,80,3.82,3 = Hard,False,71,2,99,5,100
35,1/19/2026 18:30,1/19/2026 18:31,anonymous,,4,96,2.5,1 = Easy,True,81,10,92,4,100
36,1/19/2026 18:31,1/19/2026 18:32,anonymous,,0,54,2.82,2 = Medium,True,81,3,68,2,72
37,1/19/2026 18:32,1/19/2026 18:33,anonymous,,11,60,3.51,2 = Medium,True,89,1,98,4,100
38,1/19/2026 18:33,1/19/2026 18:34,anonymous,,9,52,2.46,1 = Easy,False,97,8,88,10,100
39,1/19/2026 18:34,1/19/2026 18:35,anonymous,,5,66,2.15,2 = Medium,False,97,3,85,10,98
40,1/19/2026 18:35,1/19/2026 18:36,anonymous,,12,69,2.58,2 = Medium,True,67,10,94,3,100
41,1/19/2026 18:36,1/19/2026 18:37,anonymous,,11,64,2.32,2 = Medium,False,86,7,84,10,100
42,1/19/2026 18:37,1/19/2026 18:59,anonymous,,12,69,2.58,2 = Medium,True,67,10,94,3,100
43,1/19/2026 18:59,1/19/2026 19:03,anonymous,,8,91,3.86,2 = Medium,False,86,10,83,1,100
44,1/19/2026 19:03,1/19/2026 19:05,anonymous,,0,68,3.62,2 = Medium,False,93,5,72,8,86
45,1/19/2026 19:05,1/19/2026 19:06,anonymous,,10,64,3.27,1 = Easy,False,80,10,66,5,100
